e=486, method=EC, possExceptions=[], time=43.6347291469574
e=489, method=EC, possExceptions=[3112625, 4557782801], time=5.807049751281738
e=491, method=EC, possExceptions=[], time=5.313964605331421
e=496, method=EC, possExceptions=[], time=6.000786304473877
e=501, method=EC, possExceptions=[], time=5.1924426555633545
e=502, method=EC, possExceptions=[], time=4.718268871307373
e=505, method=EC, possExceptions=[1031219363232, 64304802602040609], time=5.142586708068848
e=520, method=EC, possExceptions=[], time=4.3857550621032715
e=528, method=EC, possExceptions=[], time=4.429040431976318
e=532, method=EC, possExceptions=[], time=4.28484034538269
e=537, method=EC, possExceptions=[], time=4.915556192398071
e=538, method=EC, possExceptions=[], time=5.084919691085815
e=539, method=EC, possExceptions=[], time=4.594378471374512
e=545, method=EC, possExceptions=[], time=4.3307390213012695
e=552, method=EC, possExceptions=[], time=22.54285979270935
e=557, method=EC, possExceptions=[301320], time=22.083345413208008
e=560, method=EC, possExceptions=[183056926312], time=5.486341238021851
e=561, method=EC, possExceptions=[], time=5.439692974090576
e=562, method=EC, possExceptions=[], time=5.965456485748291
e=580, method=EC, possExceptions=[], time=5.125524520874023
e=581, method=EC, possExceptions=[], time=4.710731506347656
e=593, method=EC, possExceptions=[], time=4.8104777336120605
e=597, method=EC, possExceptions=[], time=4.308001279830933
e=603, method=EC, possExceptions=[85941273600], time=4.543277740478516
e=610, method=EC, possExceptions=[4706, 37662750818], time=4.402750015258789
e=622, method=EC, possExceptions=[], time=5.078703165054321
e=623, method=EC, possExceptions=[], time=5.105452537536621
e=629, method=EC, possExceptions=[], time=4.553606748580933
e=630, method=EC, possExceptions=[7763022], time=34.7177209854126
e=631, method=EC, possExceptions=[1125495], time=3.303908348083496
e=638, method=EC, possExceptions=[], time=3.4962334632873535
e=645, method=EC, possExceptions=[], time=5.274916410446167
e=652, method=EC, possExceptions=[], time=5.408487319946289
e=653, method=EC, possExceptions=[], time=5.937790393829346
e=664, method=EC, possExceptions=[], time=5.535100221633911
e=676, method=EC, possExceptions=[], time=5.102992296218872
e=687, method=EC, possExceptions=[], time=4.687803030014038
e=689, method=EC, possExceptions=[], time=4.788424491882324
e=697, method=EC, possExceptions=[], time=4.3426947593688965
e=698, method=EC, possExceptions=[], time=4.389758348464966
e=701, method=EC, possExceptions=[7560], time=4.613380432128906
e=706, method=EC, possExceptions=[], time=5.14589262008667
e=708, method=EC, possExceptions=[], time=35.55068373680115
e=713, method=EC, possExceptions=[], time=3.366231918334961
e=714, method=EC, possExceptions=[358625, 21229312503894671], time=4.049263000488281
e=721, method=EC, possExceptions=[], time=5.367700815200806
e=730, method=EC, possExceptions=[], time=5.355745792388916
e=731, method=EC, possExceptions=[], time=5.928462505340576
e=733, method=EC, possExceptions=[], time=5.197824478149414
e=743, method=EC, possExceptions=[], time=4.942594528198242
e=749, method=EC, possExceptions=[], time=4.776546955108643
e=750, method=EC, possExceptions=[], time=4.594328165054321
e=761, method=EC, possExceptions=[], time=4.375996828079224
e=767, method=EC, possExceptions=[], time=4.37114691734314
e=771, method=EC, possExceptions=[], time=4.5824902057647705
e=780, method=EC, possExceptions=[], time=5.2134740352630615
e=794, method=EC, possExceptions=[], time=33.034178018569946
e=799, method=EC, possExceptions=[], time=2.3084447383880615
e=801, method=EC, possExceptions=[16582176], time=3.4447872638702393
e=811, method=EC, possExceptions=[8677049529960], time=3.794365882873535
e=813, method=EC, possExceptions=[8749456705829], time=5.428342819213867
e=820, method=EC, possExceptions=[239148, 649462716], time=5.683035850524902
e=827, method=EC, possExceptions=[12009816], time=6.153846025466919
e=839, method=EC, possExceptions=[], time=5.237224817276001
e=841, method=EC, possExceptions=[], time=4.871313095092773
e=845, method=EC, possExceptions=[], time=4.838346242904663
e=853, method=EC, possExceptions=[], time=4.418141841888428
e=855, method=EC, possExceptions=[], time=4.354543447494507
e=862, method=EC, possExceptions=[], time=4.479084730148315
e=870, EC failed, time=4.937478542327881
e=870, method=MWcurve, possExceptions=[], time=3.852710723876953
e=872, method=EC, possExceptions=[], time=22.57082962989807
e=874, method=EC, possExceptions=[], time=24.0023090839386
e=881, method=EC, possExceptions=[], time=5.293395280838013
e=883, method=EC, possExceptions=[], time=6.035845756530762
e=897, method=EC, possExceptions=[], time=5.412342309951782
e=905, method=EC, possExceptions=[], time=5.100472927093506
e=911, method=EC, possExceptions=[5824, 69832], time=4.684854984283447
e=916, method=EC, possExceptions=[51569], time=4.971124649047852
e=918, method=EC, possExceptions=[92043], time=4.451916933059692
e=924, method=EC, possExceptions=[], time=4.399624586105347
e=929, EC failed, time=4.985306739807129
e=929, method=MWcurve, possExceptions=[], time=4.300530910491943
e=932, method=EC, possExceptions=[], time=4.90631365776062
e=939, method=EC, possExceptions=[], time=4.6582255363464355
e=953, method=EC, possExceptions=[288449], time=4.204089164733887
e=957, method=EC, possExceptions=[], time=35.32951593399048
e=963, method=EC, possExceptions=[], time=3.3633947372436523
e=965, method=EC, possExceptions=[994012957], time=3.7896435260772705
e=966, method=EC, possExceptions=[], time=5.322925567626953
e=976, method=EC, possExceptions=[], time=5.201435327529907
e=981, method=EC, possExceptions=[12817832672808], time=5.9066033363342285
e=987, method=EC, possExceptions=[], time=5.357851028442383
e=995, method=EC, possExceptions=[], time=5.321796417236328
e=997, method=EC, possExceptions=[], time=4.912837266921997
e=1009, method=EC, possExceptions=[], time=4.616547346115112
e=1028, method=EC, possExceptions=[], time=4.495706081390381
e=1030, method=EC, possExceptions=[], time=4.39237117767334
e=1038, method=EC, possExceptions=[], time=4.5263049602508545
e=1049, method=EC, possExceptions=[], time=5.157354116439819
e=1051, method=EC, possExceptions=[], time=33.787482261657715
e=1056, method=EC, possExceptions=[9056], time=3.2319347858428955
e=1063, method=EC, possExceptions=[], time=3.3423385620117188
e=1065, method=EC, possExceptions=[], time=4.642549991607666
e=1068, method=EC, possExceptions=[], time=5.43334174156189
e=1074, method=EC, possExceptions=[], time=5.461684703826904
e=1080, method=EC, possExceptions=[], time=5.943934202194214
e=1084, method=EC, possExceptions=[], time=5.126981258392334
e=1087, method=EC, possExceptions=[14911], time=4.8505003452301025
e=1091, method=EC, possExceptions=[], time=4.815069675445557
e=1106, method=EC, possExceptions=[23058], time=4.417532444000244
e=1121, method=EC, possExceptions=[], time=4.481601238250732
e=1128, method=EC, possExceptions=[], time=4.379500865936279
e=1132, method=EC, possExceptions=[47788, 7703735507], time=5.189026355743408
e=1141, method=EC, possExceptions=[], time=23.081029891967773
e=1142, method=EC, possExceptions=[], time=9.173009395599365
e=1147, method=EC, possExceptions=[], time=13.094844102859497
e=1175, method=EC, possExceptions=[], time=5.499181032180786
e=1177, method=EC, possExceptions=[], time=5.45497989654541
e=1184, method=EC, possExceptions=[], time=5.902738809585571
e=1204, method=EC, possExceptions=[], time=5.429701566696167
e=1205, method=EC, possExceptions=[], time=4.621671676635742
e=1210, method=EC, possExceptions=[], time=5.154898166656494
e=1219, method=EC, possExceptions=[], time=4.262502908706665
e=1236, method=EC, possExceptions=[], time=4.5227415561676025
e=1243, method=EC, possExceptions=[], time=4.343081951141357
e=1246, method=EC, possExceptions=[], time=4.99352765083313
e=1253, method=EC, possExceptions=[], time=4.974151134490967
e=1259, method=EC, possExceptions=[], time=33.28231954574585
e=1261, method=EC, possExceptions=[], time=2.5058364868164062
e=1266, method=EC, possExceptions=[], time=3.466632127761841
e=1268, method=EC, possExceptions=[20951, 1260980, 1833768692, 19486826639], time=4.823467969894409
e=1274, method=EC, possExceptions=[], time=5.499488592147827
e=1275, method=EC, possExceptions=[], time=5.371872186660767
e=1282, method=EC, possExceptions=[], time=5.969913721084595
e=1289, method=EC, possExceptions=[], time=5.068606376647949
e=1294, method=EC, possExceptions=[], time=4.952594995498657
e=1332, method=EC, possExceptions=[], time=4.808450937271118
e=1357, method=EC, possExceptions=[12005], time=4.61963963508606
e=1358, method=EC, possExceptions=[], time=4.365139484405518
e=1363, method=EC, possExceptions=[], time=4.361693382263184
e=1366, method=EC, possExceptions=[], time=4.9767701625823975
e=1377, method=EC, possExceptions=[], time=23.052578449249268
e=1380, method=EC, possExceptions=[], time=21.994247913360596
e=1386, method=EC, possExceptions=[], time=5.382532119750977
e=1396, method=EC, possExceptions=[], time=5.420948028564453
e=1405, method=EC, possExceptions=[2407509, 102753122153877], time=6.277280330657959
e=1411, method=EC, possExceptions=[], time=5.183529853820801
e=1413, method=EC, possExceptions=[], time=4.637978792190552
e=1415, method=EC, possExceptions=[], time=4.860898017883301
e=1418, method=EC, possExceptions=[], time=4.379054546356201
e=1427, method=EC, possExceptions=[], time=4.44785475730896
e=1442, method=EC, possExceptions=[], time=4.422375440597534
e=1451, method=EC, possExceptions=[], time=4.955996990203857
e=1464, method=EC, possExceptions=[], time=5.0340776443481445
e=1469, method=EC, possExceptions=[], time=4.532531499862671
e=1471, method=EC, possExceptions=[], time=32.598363161087036
e=1476, method=EC, possExceptions=[37263385469244807], time=2.2472548484802246
e=1477, method=EC, possExceptions=[], time=3.2969720363616943
e=1481, method=EC, possExceptions=[], time=3.483670234680176
e=1485, method=EC, possExceptions=[28485, 5775998612260933], time=5.462386846542358
e=1518, method=EC, possExceptions=[], time=5.323009729385376
e=1527, method=EC, possExceptions=[], time=5.986853837966919
e=1529, method=EC, possExceptions=[], time=5.433932781219482
e=1546, method=EC, possExceptions=[40850, 217546, 34614104525, 4900871994802, 38984081946048421], time=5.787532567977905
e=1549, EC failed, time=5.211060285568237
e=1549, method=MWcurve, possExceptions=[], time=5.9256415367126465
e=1555, method=EC, possExceptions=[], time=4.467656850814819
e=1559, method=EC, possExceptions=[], time=4.427797079086304
e=1562, method=EC, possExceptions=[], time=4.99136757850647
e=1565, method=EC, possExceptions=[], time=4.992438554763794
e=1585, method=EC, possExceptions=[], time=33.82855582237244
e=1590, method=EC, possExceptions=[], time=2.9266982078552246
e=1604, method=EC, possExceptions=[], time=3.4383835792541504
e=1611, method=EC, possExceptions=[], time=4.540615558624268
e=1630, method=EC, possExceptions=[], time=5.511867523193359
e=1633, method=EC, possExceptions=[], time=5.498553276062012
e=1637, method=EC, possExceptions=[1862504, 8831236400, 12326392637, 2059532178704], time=6.651731014251709
e=1651, method=EC, possExceptions=[], time=5.2497546672821045
e=1652, method=EC, possExceptions=[], time=4.697372913360596
e=1657, method=EC, possExceptions=[], time=4.887043714523315
e=1660, method=EC, possExceptions=[], time=4.324622869491577
e=1672, method=EC, possExceptions=[], time=4.4694600105285645
e=1679, method=EC, possExceptions=[], time=4.429558277130127
e=1681, method=EC, possExceptions=[], time=5.074905157089233
e=1686, method=EC, possExceptions=[], time=36.24033164978027
e=1688, method=EC, possExceptions=[], time=3.431171417236328
e=1689, method=EC, possExceptions=[], time=4.232997179031372
e=1695, method=EC, possExceptions=[], time=5.516557693481445
e=1702, method=EC, possExceptions=[6333327, 794024478], time=5.6626973152160645
e=1711, method=EC, possExceptions=[], time=6.028712272644043
e=1718, method=EC, possExceptions=[15542], time=5.3337297439575195
